name,mal_id,include
naruto_uzumaki,17,True
sasuke_uchiha,13,True
kakashi_hatake,85,True
gaara,1662,True
itachi_uchiha,14,True
deidara,1902,True
minato_namikaze,2535,True
shikamaru_nara,2007,True
hinata_hyuuga,1555,True
iruka_umino,2011,True
sakura_haruno,145,True
sai,1901,True
yamato,2006,True
neji_hyuuga,1694,True
jiraya,2423,True
temari,2174,True
rock_lee,306,True
kushina_uzumaki,7302,True
kisame_hoshigaki,2672,True
killer_bee,18473,True
might_guy,307,True
kiba_inuzuka,3495,True
ino_yamanaka,2009,True
sasori,1900,False
pain,3180,False
konan,3179,False
shino_aburame,3428,False